phage,host,species
MK359315,NC_005363.1,Bdellovibrionales;
MK359314,CP003184,Thermoanaerobacterales;
MK359318,NC_011071.1,Xanthomonadales;
GQ303259,NZ_CP050956.1,Bacteroidales;
KJ829260,NZ_CP053931.1,Bacillales;
NC_004302,CP003184,Thermoanaerobacterales;
NC_004303,NZ_PKKP01000001.1,Actinomycetaceae;
NC_004305,NVUC01000001,Rhodobacterales;
NC_001825,NZ_CP016990.1,Aeromonadales;
MH230878,NC_005042.1,Prochloraceae;
NC_029072,NZ_CP007203.1,Aphanizomenonaceae;
KX688047,NZ_CP022580.1,Gordoniaceae;
MH910041,NZ_QGLK01000001.1,Bifidobacteriaceae;
MH910040,NZ_RPMX01000001.1,Rhizobiales;
MH590587,NZ_JNIU01000001,Pelagibacterales;
NC_016571,NZ_JNIU01000001,Pelagibacterales;
MH153800,NZ_VISK01000013.1,Rhodospirillales;
KT591489,NC_006085.1,Propionibacteriaceae;
MH153802,NC_010163.1,Acholeplasmatales;
MH153803,NZ_SGOE01000001.1,Rhizobiales;
MH153804,NZ_KZ846072.1,Lactobacillales;
MH153805,NZ_RQHA01000004.1,Leptospiraceae;
MH153806,NVTK01000009,Alteromonadales;
MH153807,NZ_CP008880.1,Flavobacteriales;
MH153808,NZ_QGLK01000001.1,Bifidobacteriaceae;
MG944218,NC_006461.1,Thermales;
MG944219,NC_015601.1,Erysipelotrichales;
KM652553,NZ_AP018203.1,Leptolyngbyaceae;
NC_002515,NC_008095.1,Myxococcales;
MH045554,NC_007677.1,Order
KM923971,NZ_LK391965,Vibrionales;
MH727561,NZ_JH603143.1,Enterobacterales;
NC_020880,NZ_CP045235.1,Burkholderiales;
NC_025439,NZ_HF571038.1,Intrasporangiaceae;
NC_025438,NZ_CP021140.1,Eggerthellales;
NC_025433,NZ_RQHA01000004.1,Leptospiraceae;
NC_007021,NC_008752.1,Burkholderiales;
KX670828,NZ_HF571038.1,Intrasporangiaceae;
MH651169,NZ_CP047242.1,Nostocaceae;
NC_028838,NC_005042.1,Prochloraceae;
NC_029048,NZ_VISK01000013.1,Rhodospirillales;
NC_029044,NC_017287.1,Chlamydiaceae;
NC_002486,CP003184,Thermoanaerobacterales;
NC_029042,CP034433,Neisseriales;
NC_029043,NZ_CP007203.1,Aphanizomenonaceae;
MF919530,NZ_CP035765.1,Sphingomonadales;
MF919531,NZ_QLMF01000001.1,Rhizobiales;
MF919532,LC361338,Micrococcaceae;
MF919534,NC_002771.1,Mycoplasmataceae;
MF919535,NZ_CP013197.1,Entomoplasmatales;
MF919536,CP000031,Rhodobacterales;
MF919538,NZ_CP009764.1,Burkholderiales;
MF919539,NZ_CP050956.1,Bacteroidales;
NC_023577,NZ_ATTH01000001,Order
NC_023574,NZ_FNSA01000003,Tsukamurellaceae;
NC_023572,NC_008261.1,Clostridiales;
NC_023573,NZ_FLYG01000003,Lactobacillales;
NC_023571,NZ_HF571038.1,Intrasporangiaceae;
JQ911768,CP001751,SAR116
NC_023578,NC_015601.1,Erysipelotrichales;
NC_023579,NZ_CP022580.1,Gordoniaceae;
MK112527,NC_006085.1,Propionibacteriaceae;
MK112526,NZ_LN831039.1,Mycobacteriaceae;
MH727559,NZ_JMSZ01000016,Oceanospirillales;
MH727558,NZ_CP035765.1,Sphingomonadales;
NC_002661,CP023315,Caulobacterales;
MH727553,CP030026,Enterobacterales;
MH727551,NZ_AP014524.1,Vibrionales;
MH727550,NZ_CP011028.1,Alteromonadales;
MH727557,NZ_RQHA01000004.1,Leptospiraceae;
MH727556,HG530068,Pseudomonadales;
MK112529,NZ_FODB01000122.1,Oceanospirillales;
MK112528,NZ_CP013197.1,Entomoplasmatales;
MH045567,NZ_CP016990.1,Aeromonadales;
MH045566,NZ_MDHN01000001.1,Alteromonadales;
MH045565,CP030026,Enterobacterales;
MH045564,NZ_BEWM01000001.1,Rhodospirillales;
NC_022979,NZ_ABJL02000008.1,Bacteroidales;
MH045562,NZ_LN831039.1,Mycobacteriaceae;
MH045561,NZ_CP021140.1,Eggerthellales;
MH045560,NZ_HF571038.1,Intrasporangiaceae;
NC_022975,NZ_CP035765.1,Sphingomonadales;
NC_022977,CP000388,Alteromonadales;
NC_022976,NZ_JH719383.1,Rhizobiales;
MH045569,NZ_ATTH01000001,Order
MH045568,NZ_LT629739,Brevibacteriaceae;
KX721255,MTKC01000003,Streptomycetaceae;
KX721256,NZ_CP035765.1,Sphingomonadales;
NC_024392,CP003184,Thermoanaerobacterales;
NC_003524,CP019892,Microbacteriaceae;
NC_021297,NC_006461.1,Thermales;
NC_021299,NZ_CP027407.1,Rhodobacterales;
NC_021298,NZ_QGLK01000001.1,Bifidobacteriaceae;
NC_030945,NZ_UFTQ01000003.1,Brevibacteriaceae;
KU055616,NZ_CP035765.1,Sphingomonadales;
NC_013638,NZ_JNIU01000001,Pelagibacterales;
NC_027293,NC_006085.1,Propionibacteriaceae;
NC_027297,NC_008095.1,Myxococcales;
NC_027299,NC_005363.1,Bdellovibrionales;
MH576948,NZ_JNIU01000001,Pelagibacterales;
MF324899,NC_007651.1,Burkholderiales;
MH316569,NZ_PKRZ01000001.1,Lactobacillales;
MH020236,NC_006085.1,Propionibacteriaceae;
MH020237,NZ_LR215047.1,Mycoplasmataceae;
MH020235,NC_004557.1,Clostridiales;
MH020238,SDYW01000001,Bacteria
MH020239,NZ_HF571038.1,Intrasporangiaceae;
NC_028889,NC_008095.1,Myxococcales;
NC_028888,NZ_RQHA01000004.1,Leptospiraceae;
KY319168,NZ_RPMX01000001.1,Rhizobiales;
MH651187,LC361338,Micrococcaceae;
MG518519,NZ_CM002803,Oscillatoriales;
NC_028959,NZ_CP023560,Bacillales;
NC_028958,NC_015601.1,Erysipelotrichales;
MF766048,NC_005042.1,Prochloraceae;
MF766044,NC_012490.1,Nocardiaceae;
MF766045,NZ_CP035765.1,Sphingomonadales;
MF766046,NC_006085.1,Propionibacteriaceae;
MK310146,NZ_AP014524.1,Vibrionales;
NC_005841,NC_007677.1,Order
NC_029077,CP019892,Microbacteriaceae;
NC_003216,CP012196,Campylobacterales;
MF185733,CP023315,Caulobacterales;
MF185732,NZ_CP012958.1,Pasteurellales;
MF185731,NC_005042.1,Prochloraceae;
MF185730,NZ_CP010899.1,Entomoplasmatales;
NC_026016,NZ_QGLK01000001.1,Bifidobacteriaceae;
NC_026017,NC_011852.1,Pasteurellales;
NC_019449,NZ_RQHA01000004.1,Leptospiraceae;
NC_019448,NC_003228.3,Bacteroidales;
MH399778,NZ_BEWM01000001.1,Rhodospirillales;
MH399779,NZ_LN831039.1,Mycobacteriaceae;
MH399776,NC_017287.1,Chlamydiaceae;
MH399777,NZ_CP046058.1,Chroococcales;
MH399774,NZ_CP046058.1,Chroococcales;
MH399775,NZ_CP012958.1,Pasteurellales;
NC_019447,NZ_CP015121.1,Pseudomonadales;
NC_019914,CP034433,Neisseriales;
MH399770,NZ_LN831027.1,Fusobacteriaceae;
MH399771,NZ_CP027793.1,Nocardiaceae;
KU160650,NZ_QGLK01000001.1,Bifidobacteriaceae;
KU160651,NZ_CP035765.1,Sphingomonadales;
KU160652,NC_007618.1,Rhizobiales;
KU160653,NZ_JAAXPD010000001.1,Gordoniaceae;
KU160654,NZ_CP009764.1,Burkholderiales;
KU160655,NZ_CP008880.1,Flavobacteriales;
KU160656,NZ_LN831039.1,Mycobacteriaceae;
KU160657,NC_015601.1,Erysipelotrichales;
KU160658,NZ_LT629739,Brevibacteriaceae;
KU160659,NC_018681.1,Nocardiaceae;
KY083058,CP004353,Corynebacteriaceae;
KY083059,SDYW01000001,Bacteria
NC_005135,CP003184,Thermoanaerobacterales;
NC_003324,NC_005363.1,Bdellovibrionales;
JF704098,NZ_HF571038.1,Intrasporangiaceae;
JF704099,NC_012490.1,Nocardiaceae;
JF704096,LC361338,Micrococcaceae;
JF704097,NZ_BMUQ00000000.1,Streptomycetaceae;
JF704094,NC_005363.1,Bdellovibrionales;
JF704093,NZ_CP010899.1,Entomoplasmatales;
JF704091,NZ_HF571038.1,Intrasporangiaceae;
MK359326,CP001713,Chlamydiaceae;
MK359327,NZ_LN831027.1,Fusobacteriaceae;
MK359324,NZ_CP021140.1,Eggerthellales;
MK359322,NC_013501.1,Order
MK359323,NZ_CP022580.1,Gordoniaceae;
MK359320,LC361338,Micrococcaceae;
MK359321,NC_003228.3,Bacteroidales;
NC_019408,CP034433,Neisseriales;
MK359328,NC_007677.1,Order
MK359329,NZ_JYBE02000001.1,Streptomycetaceae;
MG099950,NZ_UFTQ01000001,Brevibacteriaceae;
MG099951,NZ_CP047242.1,Nostocaceae;
MG099952,NZ_CP013992.1,Flavobacteriales;
MG099953,NZ_KZ846072.1,Lactobacillales;
MK524508,NC_011071.1,Xanthomonadales;
MK524509,NZ_AP018203.1,Leptolyngbyaceae;
NC_011267,NZ_CP013197.1,Entomoplasmatales;
MH910039,NZ_CP047242.1,Nostocaceae;
MK112545,NZ_CP019870.1,Clostridiales;
MH590598,NC_012490.1,Nocardiaceae;
MK524500,NZ_PKRZ01000001.1,Lactobacillales;
MH590596,NC_005042.1,Prochloraceae;
MK524502,NC_015601.1,Erysipelotrichales;
MH910037,NC_012490.1,Nocardiaceae;
MK524504,NZ_LR131273.1,Tsukamurellaceae;
MH590591,NVUC01000001,Rhodobacterales;
MK524507,NZ_BEWM01000001.1,Rhodospirillales;
MH153813,NZ_ATTH01000001,Order
MH153812,NZ_CP019870.1,Clostridiales;
MH153811,NC_015601.1,Erysipelotrichales;
MH077579,NZ_CP016990.1,Aeromonadales;
MH077578,CP003184,Thermoanaerobacterales;
MH077577,NZ_CP004353.1,Corynebacteriaceae;
MH077576,NC_005042.1,Prochloraceae;
NC_025429,NZ_SPGG01000010.1,Bacteroidales;
MF373842,NZ_AP018203.1,Leptolyngbyaceae;
MF373843,CP034433,Neisseriales;
MF373840,LC361338,Micrococcaceae;
MF373841,NC_010163.1,Acholeplasmatales;
NC_020414,NZ_AP018203.1,Leptolyngbyaceae;
NC_020416,NZ_PETF01000001,Entomoplasmatales;
NC_025421,NZ_RQHA01000004.1,Leptospiraceae;
MH825712,NZ_CP023560,Bacillales;
MH825713,NZ_CP019870.1,Clostridiales;
MH825710,NZ_PETF01000001,Entomoplasmatales;
MH825711,NZ_CP046058.1,Chroococcales;
MH651177,NZ_RPMX01000001.1,Rhizobiales;
MH651175,NZ_JNIU01000001,Pelagibacterales;
MH651174,NZ_UFTQ01000003.1,Brevibacteriaceae;
MH651173,NC_012490.1,Nocardiaceae;
MH651171,NC_017287.1,Chlamydiaceae;
MH651170,NZ_HF571038.1,Intrasporangiaceae;
MH651179,NZ_ATTH01000001,Order
MH651178,NC_017287.1,Chlamydiaceae;
NC_029120,NC_006461.1,Thermales;
MF919523,NC_012490.1,Nocardiaceae;
NC_023612,NZ_QKZO01000001.1,Rhodobacterales;
MF919527,NC_005042.1,Prochloraceae;
MF919526,NZ_CP047242.1,Nostocaceae;
MF919525,NZ_PKKP01000001.1,Actinomycetaceae;
MF919524,NZ_HF571038.1,Intrasporangiaceae;
MF919529,NZ_VISK01000013.1,Rhodospirillales;
MF919528,NC_009438.1,Alteromonadales;
MK305886,NZ_QLMF01000001.1,Rhizobiales;
MF133445,NC_021883.1,Pasteurellales;
MK392365,NZ_LR131273.1,Tsukamurellaceae;
MH045558,SDYW01000001,Bacteria
MH045559,NZ_LN831027.1,Fusobacteriaceae;
MH338241,NZ_CP046058.1,Chroococcales;
MH338240,CP023315,Caulobacterales;
MH727564,CP019892,Microbacteriaceae;
MH727562,NZ_ABJL02000008.1,Bacteroidales;
MH727563,NC_002771.1,Mycoplasmataceae;
MH727560,NZ_PKKP01000001.1,Actinomycetaceae;
MH045555,NZ_LN831027.1,Fusobacteriaceae;
NC_031224,NZ_SGOE01000001.1,Rhizobiales;
NC_022969,NZ_RQHA01000004.1,Leptospiraceae;
NC_031228,LC361338,Micrococcaceae;
NC_022965,NZ_FNSA01000003,Tsukamurellaceae;
KX550082,NZ_LN831027.1,Fusobacteriaceae;
NC_011289,NZ_AP018203.1,Leptolyngbyaceae;
NC_011288,HG530068,Pseudomonadales;
KX817173,NZ_CP007203.1,Aphanizomenonaceae;
KX817175,NZ_LR215047.1,Mycoplasmataceae;
KX817174,NC_015601.1,Erysipelotrichales;
NC_024391,NZ_CP021140.1,Eggerthellales;
NC_024390,NZ_CP023558.1,Alteromonadales;
NC_011285,NZ_VISK01000013.1,Rhodospirillales;
NC_011284,NZ_NUFU01000011.1,Bacillales;
NC_011287,NZ_CM002803,Oscillatoriales;
NC_011286,RXKE01000007,Gordoniaceae;
NC_000896,NZ_CP047242.1,Nostocaceae;
KX683876,CP001751,SAR116
KX683875,QLNP01000098,Micrococcaceae;
NC_023549,NZ_VISK01000013.1,Rhodospirillales;
KY380102,NZ_CP023558.1,Alteromonadales;
NC_030953,NZ_MRCG01000001.1,Oscillatoriales;
MK305887,NZ_CP009764.1,Burkholderiales;
NC_008798,NZ_CP029197.1,Streptomycetaceae;
NC_009990,NZ_LT629770,Microbacteriaceae;
MH669006,CP034433,Neisseriales;
NC_009018,NZ_CP022580.1,Gordoniaceae;
KU761559,LR134359,Campylobacterales;
MH576959,NZ_CP016990.1,Aeromonadales;
MH576958,NZ_PKKP01000001.1,Actinomycetaceae;
MH576957,NZ_LN831039.1,Mycobacteriaceae;
MH576956,NZ_CP021140.1,Eggerthellales;
MH576955,NZ_LN831027.1,Fusobacteriaceae;
MH576954,NZ_CP016990.1,Aeromonadales;
MH576953,NZ_CP028926.1,Pasteurellales;
MH576952,NZ_LR215047.1,Mycoplasmataceae;
MH576951,NZ_CP046058.1,Chroococcales;
MH576950,CP001751,SAR116
MF189175,NC_011852.1,Pasteurellales;
MF189174,NZ_CP009764.1,Burkholderiales;
MF189177,NZ_HF571038.1,Intrasporangiaceae;
MF189176,NZ_CP012023.1,Rhodobacterales;
MF189171,NC_015601.1,Erysipelotrichales;
MF189170,NZ_JNIU01000001,Pelagibacterales;
MF189173,NZ_CP041040.1,Microbacteriaceae;
MF189172,NZ_CP023560,Bacillales;
NC_031041,NC_008095.1,Myxococcales;
NC_031040,NZ_CP031781.1,Vibrionales;
NC_031043,NZ_CP009764.1,Burkholderiales;
NC_031042,NZ_CP009976.1,Flavobacteriales;
NC_031045,NC_012490.1,Nocardiaceae;
MF189178,NZ_CP009976.1,Flavobacteriales;
KY204245,NZ_FODB01000122.1,Oceanospirillales;
NC_031046,CP023315,Caulobacterales;
NC_018279,NZ_AP014524.1,Vibrionales;
NC_018278,NC_004310.3,Rhizobiales;
NC_018275,NZ_LN831039.1,Mycobacteriaceae;
NC_018273,NZ_CP023558.1,Alteromonadales;
NC_018270,NZ_CP011663.1,Clostridiales;
NC_028898,NC_015276.1,Oceanospirillales;
NC_028899,NZ_LT629739,Brevibacteriaceae;
NC_031277,NZ_LT629758,Micromonosporaceae;
NC_001741,NC_006461.1,Thermales;
KJ959632,NZ_BEWM01000001.1,Rhodospirillales;
KY204246,NC_005042.1,Prochloraceae;
NC_028897,NZ_CP047242.1,Nostocaceae;
NC_010391,NZ_MRCG01000001.1,Oscillatoriales;
NC_010392,NZ_CP046058.1,Chroococcales;
NC_010393,NC_002771.1,Mycoplasmataceae;
NC_031048,NZ_CP023558.1,Alteromonadales;
NC_009551,NZ_LR215047.1,Mycoplasmataceae;
NC_009554,NC_006461.1,Thermales;
NC_028766,NZ_BEWM01000001.1,Rhodospirillales;
MF281061,LC361338,Micrococcaceae;
KM592966,NZ_LT629758,Micromonosporaceae;
MF189179,NZ_CP004353.1,Corynebacteriaceae;
KX580961,NVUC01000001,Rhodobacterales;
NC_008207,NZ_CP021140.1,Eggerthellales;
NC_008207,NC_010103.1,Rhizobiales;
NC_008206,NZ_UFTQ01000001,Brevibacteriaceae;
NC_008205,NZ_CP047242.1,Nostocaceae;
NC_008205,CP001751,SAR116
NC_008204,NZ_CP047242.1,Nostocaceae;
NC_008204,NZ_CP007203.1,Aphanizomenonaceae;
NC_008203,NC_015601.1,Erysipelotrichales;
NC_008203,HG530068,Pseudomonadales;
NC_008202,CP001397,Flavobacteriales;
NC_008201,NZ_CP007203.1,Aphanizomenonaceae;
NC_008200,NZ_LT629758,Micromonosporaceae;
NC_008200,NC_021883.1,Pasteurellales;
NC_028942,NZ_CP053931.1,Bacillales;
NC_028941,NVTK01000009,Alteromonadales;
NC_028946,CP030026,Enterobacterales;
NC_028947,NC_018681.1,Nocardiaceae;
NC_028945,NZ_AMGI01000001.1,Entomoplasmatales;
MK359359,NC_010163.1,Acholeplasmatales;
NC_009234,NC_004556.1,Xanthomonadales;
MK359358,NZ_CP008781.1,Burkholderiales;
NC_031128,NZ_AP019750.1,Lactobacillales;
