phage,host,species,relation
NC_001909,NZ_CP010341.1,Leptospira,0
KM101117,NZ_CP010341.1,Oceanospirillaceae;,0
NC_029059,NZ_CP010341.1,Kitasatospora,0
NC_007019,NZ_CP010341.1,Comamonadaceae;,0
MG770213,NZ_CP010341.1,Propionibacterium,0
MG770211,NZ_CP010341.1,Mamiellales;,0
NC_029050,NZ_CP010341.1,Thermoanaerobacterales,0
MG770216,NZ_CP010341.1,Pasteurellaceae;,0
MG770215,NZ_CP010341.1,Flavobacteriaceae;,0
MG770214,NZ_CP010341.1,Paenibacillaceae;,0
NC_025422,NZ_CP010341.1,Ruminococcaceae;,0
NC_011398,NZ_CP010341.1,II.,0
NC_023686,NZ_CP010341.1,Pectobacteriaceae;,0
NC_023565,NZ_CP010341.1,Sinomonas,0
NC_023564,NZ_CP010341.1,Rhodospirillaceae;,0
NC_023687,NZ_CP010341.1,Halomonadaceae;,0
MH183162,NZ_CP010341.1,Mycoplasma,0
NC_023563,NZ_CP010341.1,Moraxellaceae;,0
JX307705,NZ_CP010341.1,Rhizobiaceae;,0
JX307704,NZ_CP010341.1,Hexapoda;,0
NC_023568,NZ_CP010341.1,Peptostreptococcaceae;,0
JX307703,NZ_CP010341.1,Bdellovibrionaceae;,0
JX307702,NZ_CP010341.1,Erwiniaceae;,0
MK112534,NZ_CP010341.1,Clostridiaceae;,0
MH727549,NZ_CP010341.1,II.,0
MK112536,NZ_CP010341.1,Pseudomonadaceae;,0
JN116825,NZ_CP010341.1,Burkholderiaceae;,0
MK112530,NZ_CP010341.1,Rhodospirillaceae;,0
JN116823,NZ_CP010341.1,Streptomyces,0
NC_031085,NZ_CP010341.1,Mycoplasma,0
NC_031087,NZ_CP010341.1,Bacteroidaceae;,0
MH727543,NZ_CP010341.1,Moraxellaceae;,0
MK112538,NZ_CP010341.1,Streptomyces,0
MH727545,NZ_CP010341.1,Corynebacterium,0
MH727546,NZ_CP010341.1,Pseudoalteromonadaceae;,0
MH727547,NZ_CP010341.1,Bacteroidaceae;,0
MK279866,NZ_CP010341.1,Mycoplasma,0
JF957058,NZ_CP010341.1,Vibrionaceae;,0
MH976519,NZ_CP010341.1,Arthrobacter,0
MH976518,NZ_CP010341.1,Aeromonadaceae;,0
HM152765,NZ_CP010341.1,Rhodococcus,0
HM152766,NZ_CP010341.1,Rhodococcus,0
MK279869,NZ_CP010341.1,Mamiellales;,0
MH976513,NZ_CP010341.1,Pasteurellaceae;,0
MH976512,NZ_CP010341.1,Xanthomonadaceae;,0
MH976511,NZ_CP010341.1,Idiomarinaceae;,0
MH976510,NZ_CP010341.1,Leptospira,0
MH976517,NZ_CP010341.1,Burkholderiaceae;,0
MH976515,NZ_CP010341.1,Pseudoalteromonadaceae;,0
MH976514,NZ_CP010341.1,Yersiniaceae;,0
KX589269,NZ_CP010341.1,Microbacterium,0
NC_022762,NZ_CP010341.1,Oscillatoriaceae;,0
NC_022764,NZ_CP010341.1,Erwiniaceae;,0
NC_022765,NZ_CP010341.1,Acetobacteraceae;,0
NC_022766,NZ_CP010341.1,Mycobacterium,0
NC_010353,NZ_CP010341.1,Trichormus,0
NC_022768,NZ_CP010341.1,Hafniaceae;,0
MK279859,NZ_CP010341.1,Brucellaceae;,0
MK279858,NZ_CP010341.1,Leuconostocaceae;,0
MK279851,NZ_CP010341.1,Halobacteria;,0
JF957060,NZ_CP010341.1,Bacteroidaceae;,0
MK279853,NZ_CP010341.1,Vibrionaceae;,0
MK279852,NZ_CP010341.1,Microcoleaceae;,0
MK279854,NZ_CP010341.1,Erwiniaceae;,0
MK279857,NZ_CP010341.1,Comamonadaceae;,0
MK279856,NZ_CP010341.1,Vibrionaceae;,0
MH825709,NZ_CP010341.1,Tetrasphaera,0
NC_011534,NZ_CP010341.1,Pasteurellaceae;,0
NC_029071,NZ_CP010341.1,Pectobacteriaceae;,0
KT783672,NZ_CP010341.1,Oscillatoriaceae;,0
NC_028988,NZ_CP010341.1,Corynebacterium,0
NC_028986,NZ_CP010341.1,Pseudomonadaceae;,0
NC_028805,NZ_CP010341.1,Leuconostocaceae;,0
NC_013195,NZ_CP010341.1,Thermoanaerobacterales,0
NC_024121,NZ_CP010341.1,Flavobacteriaceae;,0
NC_010363,NZ_CP010341.1,Morganellaceae;,0
NC_004678,NZ_CP010341.1,Morganellaceae;,0
NC_004679,NZ_CP010341.1,Paenibacillaceae;,0
NC_013694,NZ_CP010341.1,Oceanospirillaceae;,0
NC_020483,NZ_CP010341.1,Sulfolobaceae;,0
NC_020482,NZ_CP010341.1,Acetobacteraceae;,0
NC_020481,NZ_CP010341.1,Gordonia,0
NC_020480,NZ_CP010341.1,Rhodococcus,0
NC_019726,NZ_CP010341.1,Campylobacteraceae;,0
MG298964,NZ_CP010341.1,Halomonadaceae;,0
KX752698,NZ_CP010341.1,Streptococcaceae;,0
MG757166,NZ_CP010341.1,Clostridiaceae;,0
MG757167,NZ_CP010341.1,Nocardia,0
NC_027991,NZ_CP010341.1,Rhizobiaceae;,0
MG757164,NZ_CP010341.1,Thermoanaerobacterales,0
MG757165,NZ_CP010341.1,Mycobacterium,0
NC_013697,NZ_CP010341.1,Erwiniaceae;,0
MG757162,NZ_CP010341.1,Rhodospirillaceae;,0
NC_005857,NZ_CP010341.1,Propionibacterium,0
NC_028800,NZ_CP010341.1,Moraxellaceae;,0
NC_022053,NZ_CP010341.1,Enterococcaceae;,0
MG925354,NZ_CP010341.1,Hexapoda;,0
KT363731,NZ_CP010341.1,Leptospira,0
MG925355,NZ_CP010341.1,Streptococcaceae;,0
MF185728,NZ_CP010341.1,Aeromonadaceae;,0
MF185729,NZ_CP010341.1,Acetobacteraceae;,0
KX620751,NZ_CP010341.1,Thermaceae;,0
MF185725,NZ_CP010341.1,Halomonadaceae;,0
MF185726,NZ_CP010341.1,Thermoanaerobacterales,0
KX620752,NZ_CP010341.1,Vibrionaceae;,0
MF185721,NZ_CP010341.1,Flavobacteriaceae;,0
MF185722,NZ_CP010341.1,Tsukamurella,0
MF185723,NZ_CP010341.1,,0
MH697575,NZ_CP010341.1,Bdellovibrionaceae;,0
NC_001697,NZ_CP010341.1,Chlamydia/Chlamydophila,0
MH697577,NZ_CP010341.1,Tannerellaceae;,0
MH697576,NZ_CP010341.1,Mycobacterium,0
KT990218,NZ_CP010341.1,Tannerellaceae;,0
MH697579,NZ_CP010341.1,Microcoleaceae;,0
MH697578,NZ_CP010341.1,Hexapoda;,0
NC_021061,NZ_CP010341.1,Streptomyces,0
KT364588,NZ_CP010341.1,Enterococcaceae;,0
NC_022058,NZ_CP010341.1,Erwiniaceae;,0
MH047631,NZ_CP010341.1,Nodularia,0
MF668283,NZ_CP010341.1,Trichormus,0
MF668282,NZ_CP010341.1,Alcaligenaceae;,0
MF668281,NZ_CP010341.1,Rhodococcus,0
MF668280,NZ_CP010341.1,Rhizobiaceae;,0
MF668287,NZ_CP010341.1,Tannerellaceae;,0
MF668286,NZ_CP010341.1,Mamiellales;,0
MF668285,NZ_CP010341.1,Methanobacteria;,0
MF668284,NZ_CP010341.1,Aeromonadaceae;,0
MH697593,NZ_CP010341.1,Tsukamurella,0
MH697592,NZ_CP010341.1,Thermaceae;,0
MH697591,NZ_CP010341.1,Mycobacteroides,0
MH697590,NZ_CP010341.1,Lactobacillaceae;,0
JN049605,NZ_CP010341.1,Nodularia,0
KY083062,NZ_CP010341.1,chlorophytes;,0
MH000607,NZ_CP010341.1,Ruminococcaceae;,0
MH000606,NZ_CP010341.1,Hexapoda;,0
KX557284,NZ_CP010341.1,Acetobacteraceae;,0
KX557285,NZ_CP010341.1,Streptomyces;,0
MK359313,NZ_CP010341.1,Listeriaceae;,0
MK359312,NZ_CP010341.1,Oscillatoriaceae;,0
MK359311,NZ_CP010341.1,chlorophytes;,0
MK359310,NZ_CP010341.1,Actinoplanes,0
MK359317,NZ_CP010341.1,Tetrasphaera,0
MK359316,NZ_CP010341.1,Flavobacteriaceae;,0
MK359315,NZ_CP010341.1,Oceanospirillaceae;,0
MK359314,NZ_CP010341.1,Comamonadaceae;,0
MK359319,NZ_CP010341.1,Listeriaceae;,0
MK359318,NZ_CP010341.1,Rhodobacteraceae;,0
GQ303259,NZ_CP010341.1,Clavibacter,0
KJ829260,NZ_CP010341.1,Morganellaceae;,0
NC_004302,NZ_CP010341.1,Hafniaceae;,0
NC_004303,NZ_CP010341.1,Leuconostocaceae;,0
NC_004305,NZ_CP010341.1,Listeriaceae;,0
NC_001825,NZ_CP010341.1,Pseudomonadaceae;,0
MH230878,NZ_CP010341.1,Clavibacter,0
NC_029072,NZ_CP010341.1,Aeromonadaceae;,0
KX688047,NZ_CP010341.1,Pelagibacteraceae;,0
MH910041,NZ_CP010341.1,Hexapoda;,0
MH910040,NZ_CP010341.1,Oscillatoriaceae;,0
MH590587,NZ_CP010341.1,Morganellaceae;,0
NC_016571,NZ_CP010341.1,Ruminococcaceae;,0
MH153800,NZ_CP010341.1,Enterococcaceae;,0
KT591489,NZ_CP010341.1,Oscillatoriaceae;,0
MH153802,NZ_CP010341.1,Corynebacterium,0
MH153803,NZ_CP010341.1,Alcaligenaceae;,0
MH153804,NZ_CP010341.1,Microcoleaceae;,0
MH153805,NZ_CP010341.1,Bacillaceae;,0
MH153806,NZ_CP010341.1,Acetobacteraceae;,0
MH153807,NZ_CP010341.1,Leptospira,0
MH153808,NZ_CP010341.1,Brevibacterium,0
MH153809,NZ_CP010341.1,Mycolicibacterium,0
MG944218,NZ_CP010341.1,chlorophytes;,0
MG944219,NZ_CP010341.1,Bacillaceae;,0
KM652553,NZ_CP010341.1,Sphingomonadaceae;,0
NC_002515,NZ_CP010341.1,Mamiellales;,0
MH045554,NZ_CP010341.1,Streptococcaceae;,0
KM923971,NZ_CP010341.1,Campylobacteraceae;,0
MH727561,NZ_CP010341.1,Bacillaceae;,0
NC_020880,NZ_CP010341.1,Tsukamurella,0
NC_025439,NZ_CP010341.1,Leuconostocaceae;,0
NC_025438,NZ_CP010341.1,Enterobacteriaceae;,0
NC_025433,NZ_CP010341.1,Flavobacteriaceae;,0
NC_007021,NZ_CP010341.1,Spiroplasmataceae;,0
MH651166,NZ_CP010341.1,Tsukamurella,0
MH651167,NZ_CP010341.1,Clostridiaceae;,0
KX670828,NZ_CP010341.1,Oceanospirillaceae;,0
MH651168,NZ_CP010341.1,Streptococcaceae;,0
MH651169,NZ_CP010341.1,Alcaligenaceae;,0
NC_028838,NZ_CP010341.1,Lactobacillaceae;,0
NC_029048,NZ_CP010341.1,Shewanellaceae;,0
NC_029044,NZ_CP010341.1,Yersiniaceae;,0
NC_002486,NZ_CP010341.1,Idiomarinaceae;,0
NC_031226,NZ_CP010341.1,Moraxellaceae;,0
NC_029042,NZ_CP010341.1,Moraxellaceae;,0
NC_029043,NZ_CP010341.1,Mycobacteroides,0
MF919530,NZ_CP010341.1,Staphylococcaceae;,0
MF919531,NZ_CP010341.1,Mamiellales;,0
MF919532,NZ_CP010341.1,Thermaceae;,0
MF919534,NZ_CP010341.1,Actinoplanes,0
MF919535,NZ_CP010341.1,Nocardia,0
MF919536,NZ_CP010341.1,Hexapoda;,0
MF919537,NZ_CP010341.1,Hexapoda;,0
MF919538,NZ_CP010341.1,Thermaceae;,0
MF919539,NZ_CP010341.1,Cutibacterium,0
NC_023577,NZ_CP010341.1,Acetobacteraceae;,0
NC_023574,NZ_CP010341.1,Rhodococcus,0
NC_023572,NZ_CP010341.1,Listeriaceae;,0
NC_023573,NZ_CP010341.1,Helicobacteraceae;,0
NC_023571,NZ_CP010341.1,Prochlorococcus,0
JQ911768,NZ_CP010341.1,Pseudomonadaceae;,0
NC_023578,NZ_CP010341.1,Leptospira,0
NC_023579,NZ_CP010341.1,Actinomyces,0
MK112527,NZ_CP010341.1,Cutibacterium,0
MK112526,NZ_CP010341.1,Corynebacterium,0
MH727559,NZ_CP010341.1,Chlamydia/Chlamydophila,0
MH727558,NZ_CP010341.1,Streptomyces;,0
NC_002661,NZ_CP010341.1,Mycoplasma,0
NC_031099,NZ_CP010341.1,Thermoanaerobacterales,0
MH727553,NZ_CP010341.1,Corynebacterium,0
MH727552,NZ_CP010341.1,Helicobacteraceae;,0
MH727551,NZ_CP010341.1,Brucellaceae;,0
MH727550,NZ_CP010341.1,Methanobacteria;,0
MH727557,NZ_CP010341.1,Leptospira,0
MH727556,NZ_CP010341.1,Rhodobacteraceae;,0
MK112529,NZ_CP010341.1,Alcaligenaceae;,0
MK112528,NZ_CP010341.1,Brucellaceae;,0
MH045567,NZ_CP010341.1,Peptostreptococcaceae;,0
MH045566,NZ_CP010341.1,Thermoanaerobacterales,0
MH045565,NZ_CP010341.1,Pectobacteriaceae;,0
MH045564,NZ_CP010341.1,Halobacteria;,0
NC_022979,NZ_CP010341.1,Yersiniaceae;,0
MH045562,NZ_CP010341.1,Ruminococcaceae;,0
MH045561,NZ_CP010341.1,Thermaceae;,0
MH045560,NZ_CP010341.1,Streptomyces;,0
NC_022975,NZ_CP010341.1,Chlamydia/Chlamydophila,0
NC_022977,NZ_CP010341.1,Pseudoalteromonadaceae;,0
NC_022976,NZ_CP010341.1,Pseudoalteromonadaceae;,0
MH045569,NZ_CP010341.1,Kitasatospora,0
MH045568,NZ_CP010341.1,Mycolicibacterium,0
KX721255,NZ_CP010341.1,Lactobacillaceae;,0
KX721256,NZ_CP010341.1,Pseudomonadaceae;,0
NC_024392,NZ_CP010341.1,Kitasatospora,0
NC_003524,NZ_CP010341.1,Listeriaceae;,0
NC_021297,NZ_CP010341.1,Kitasatospora,0
NC_021299,NZ_CP010341.1,Shewanellaceae;,0
NC_021298,NZ_CP010341.1,Propionibacterium,0
NC_030943,NZ_CP010341.1,Hafniaceae;,0
NC_030942,NZ_CP010341.1,Chlamydia/Chlamydophila,0
NC_030941,NZ_CP010341.1,Nocardia,0
NC_030945,NZ_CP010341.1,Alcaligenaceae;,0
NC_030944,NZ_CP010341.1,Sulfolobaceae;,0
KU055616,NZ_CP010341.1,Comamonadaceae;,0
NC_013638,NZ_CP010341.1,Actinoplanes,0
NC_027293,NZ_CP010341.1,Colwelliaceae;,0
NC_027297,NZ_CP010341.1,Enterococcaceae;,0
NC_027299,NZ_CP010341.1,Vertebrata;,0
MH576948,NZ_CP010341.1,Spiroplasmataceae;,0
MF324899,NZ_CP010341.1,Hafniaceae;,0
MH316569,NZ_CP010341.1,Mycobacterium;,0
MH020236,NZ_CP010341.1,Nocardia,0
MH020237,NZ_CP010341.1,chlorophytes;,0
MH020235,NZ_CP010341.1,Tannerellaceae;,0
MH020238,NZ_CP010341.1,Comamonadaceae;,0
MH020239,NZ_CP010341.1,Thermaceae;,0
NC_028889,NZ_CP010341.1,Nocardia,0
NC_028888,NZ_CP010341.1,Alcaligenaceae;,0
KY319168,NZ_CP010341.1,Burkholderiaceae;,0
MH651187,NZ_CP010341.1,Prochlorococcus,0
MG518519,NZ_CP010341.1,Thermoanaerobacterales,0
NC_028959,NZ_CP010341.1,Sinomonas,0
NC_028958,NZ_CP010341.1,Vertebrata;,0
MF766048,NZ_CP010341.1,Pelagibacteraceae;,0
MF766044,NZ_CP010341.1,Trichormus,0
MF766045,NZ_CP010341.1,Microcoleaceae;,0
MF766046,NZ_CP010341.1,Enterococcaceae;,0
MK310146,NZ_CP010341.1,,0
NC_005841,NZ_CP010341.1,Enterococcaceae;,0
NC_029077,NZ_CP010341.1,Streptomyces;,0
NC_003216,NZ_CP010341.1,Sphingomonadaceae;,0
MF185733,NZ_CP010341.1,chlorophytes;,0
MF185732,NZ_CP010341.1,Flavobacteriaceae;,0
MF185731,NZ_CP010341.1,Brevibacterium,0
MF185730,NZ_CP010341.1,Tetrasphaera,0
NC_026016,NZ_CP010341.1,Peptostreptococcaceae;,0
NC_026017,NZ_CP010341.1,Pectobacteriaceae;,0
NC_019449,NZ_CP010341.1,Clostridiaceae;,0
NC_019448,NZ_CP010341.1,Campylobacteraceae;,0
MH399778,NZ_CP010341.1,Clostridiaceae;,0
MH399779,NZ_CP010341.1,Thermoanaerobacterales,0
MH399776,NZ_CP010341.1,Cutibacterium,0
MH399777,NZ_CP010341.1,Alcaligenaceae;,0
MH399774,NZ_CP010341.1,Hafniaceae;,0
MH399775,NZ_CP010341.1,Brucellaceae;,0
NC_019447,NZ_CP010341.1,Clostridiaceae;,0
NC_019914,NZ_CP010341.1,Bdellovibrionaceae;,0
MH399770,NZ_CP010341.1,Staphylococcaceae;,0
MH399771,NZ_CP010341.1,Mycobacteroides,0
KU160650,NZ_CP010341.1,Rhodospirillaceae;,0
KU160651,NZ_CP010341.1,Lactobacillaceae;,0
KU160652,NZ_CP010341.1,Paenibacillaceae;,0
KU160653,NZ_CP010341.1,Idiomarinaceae;,0
KU160654,NZ_CP010341.1,Burkholderiaceae;,0
KU160655,NZ_CP010341.1,Caulobacteraceae;,0
KU160656,NZ_CP010341.1,Yersiniaceae;,0
KU160657,NZ_CP010341.1,Vertebrata;,0
KU160658,NZ_CP010341.1,Actinomyces,0
KU160659,NZ_CP010341.1,Xanthomonadaceae;,0
KY083058,NZ_CP010341.1,Helicobacteraceae;,0
KY083059,NZ_CP010341.1,Bdellovibrionaceae;,0
NC_005135,NZ_CP010341.1,Arthrobacter,0
NC_003324,NZ_CP010341.1,Kitasatospora,0
JF704098,NZ_CP010341.1,Streptomyces,0
JF704099,NZ_CP010341.1,Brucellaceae;,0
JF704096,NZ_CP010341.1,Bacteroidaceae;,0
JF704097,NZ_CP010341.1,Tetrasphaera,0
JF704094,NZ_CP010341.1,Mycobacterium,0
JF704093,NZ_CP010341.1,Microcoleaceae;,0
JF704091,NZ_CP010341.1,Alcaligenaceae;,0
MK359326,NZ_CP010341.1,Enterobacteriaceae;,0
MK359327,NZ_CP010341.1,Halobacteria;,0
MK359324,NZ_CP010341.1,Vibrionaceae;,0
MK359322,NZ_CP010341.1,Listeriaceae;,0
MK359323,NZ_CP010341.1,Brucellaceae;,0
MK359320,NZ_CP010341.1,Mycoplasma,0
MK359321,NZ_CP010341.1,Helicobacteraceae;,0
NC_019408,NZ_CP010341.1,Mamiellales;,0
MK359328,NZ_CP010341.1,Pectobacteriaceae;,0
MK359329,NZ_CP010341.1,Microbacterium,0
MG099950,NZ_CP010341.1,Thermaceae;,0
MG099951,NZ_CP010341.1,Sulfolobaceae;,0
MG099952,NZ_CP010341.1,Prochlorococcus,0
MG099953,NZ_CP010341.1,Rhodobacteraceae;,0
MK524508,NZ_CP010341.1,Leuconostocaceae;,0
MK524509,NZ_CP010341.1,Nodularia,0
NC_011267,NZ_CP010341.1,Pectobacteriaceae;,0
MH910039,NZ_CP010341.1,Comamonadaceae;,0
MK112545,NZ_CP010341.1,Pectobacteriaceae;,0
MH590598,NZ_CP010341.1,Burkholderiaceae;,0
MK524500,NZ_CP010341.1,Enterobacteriaceae;,0
MH590596,NZ_CP010341.1,Campylobacteraceae;,0
MK524502,NZ_CP010341.1,Pseudoalteromonadaceae;,0
MH910037,NZ_CP010341.1,Trichormus,0
MK524504,NZ_CP010341.1,Halobacteria;,0
MK524505,NZ_CP010341.1,Halomonadaceae;,0
MH590591,NZ_CP010341.1,Pectobacteriaceae;,0
MK524507,NZ_CP010341.1,Vertebrata;,0
MH153813,NZ_CP010341.1,Yersiniaceae;,0
MH153812,NZ_CP010341.1,Mycobacterium;,0
MH153811,NZ_CP010341.1,Methanobacteria;,0
MH153810,NZ_CP010341.1,Pasteurellaceae;,0
MH077579,NZ_CP010341.1,Mycobacterium;,0
MH077578,NZ_CP010341.1,Flavobacteriaceae;,0
MH077577,NZ_CP010341.1,Clavibacter,0
MH077576,NZ_CP010341.1,Rhodospirillaceae;,0
NC_025429,NZ_CP010341.1,Acetobacteraceae;,0
MF373842,NZ_CP010341.1,Kitasatospora,0
MF373843,NZ_CP010341.1,Enterococcaceae;,0
MF373840,NZ_CP010341.1,Halobacteria;,0
MF373841,NZ_CP010341.1,Microcoleaceae;,0
NC_020414,NZ_CP010341.1,II.,0
NC_020416,NZ_CP010341.1,Chlamydia/Chlamydophila,0
NC_025421,NZ_CP010341.1,Tannerellaceae;,0
MH825712,NZ_CP010341.1,Shewanellaceae;,0
MH825713,NZ_CP010341.1,Rhodobacteraceae;,0
MH825710,NZ_CP010341.1,Microcoleaceae;,0
MH825711,NZ_CP010341.1,Enterococcaceae;,0
MH651177,NZ_CP010341.1,,0
MH651176,NZ_CP010341.1,Trichormus,0
MH651175,NZ_CP010341.1,Spiroplasmataceae;,0
MH651174,NZ_CP010341.1,Enterobacteriaceae;,0
MH651173,NZ_CP010341.1,Thermaceae;,0
MH651171,NZ_CP010341.1,Morganellaceae;,0
MH651170,NZ_CP010341.1,Enterobacteriaceae;,0
MH651179,NZ_CP010341.1,Flavobacteriaceae;,0
MH651178,NZ_CP010341.1,Pelagibacteraceae;,0
NC_029120,NZ_CP010341.1,Idiomarinaceae;,0
MF919523,NZ_CP010341.1,Trichormus,0
NC_023612,NZ_CP010341.1,Vibrionaceae;,0
MF919521,NZ_CP010341.1,chlorophytes;,0
MF919520,NZ_CP010341.1,II.,0
MF919527,NZ_CP010341.1,Enterococcaceae;,0
MF919526,NZ_CP010341.1,Halobacteria;,0
MF919525,NZ_CP010341.1,Methanobacteria;,0
MF919524,NZ_CP010341.1,Rhodobacteraceae;,0
MF919529,NZ_CP010341.1,Brucellaceae;,0
MF919528,NZ_CP010341.1,Pseudomonadaceae;,0
MK305886,NZ_CP010341.1,Sinomonas,0
MF133445,NZ_CP010341.1,Streptococcaceae;,0
MK392365,NZ_CP010341.1,Halobacteria;,0
MH045558,NZ_CP010341.1,Nocardia,0
MH045559,NZ_CP010341.1,Lactobacillaceae;,0
MH338241,NZ_CP010341.1,Halobacteria;,0
MH338240,NZ_CP010341.1,Helicobacteraceae;,0
NC_038371,NZ_CP010341.1,Mamiellales;,0
MH727564,NZ_CP010341.1,Cutibacterium,0
MH727562,NZ_CP010341.1,Morganellaceae;,0
MH727563,NZ_CP010341.1,Caulobacteraceae;,0
