,phage_name,phage_genbank_id,phage_refseq_id,host_name,host_id,host_category,host_desc
52,AgronaGT15,MN585984,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
53,Ailee,MH976507,,Gordonia terrae 3612,MT818424.1,21,"Gordonia phage GemG, complete genome"
54,Airmid,JN083853,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
55,Ajay,MN062710,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
56,Akhila,,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
57,Akoma,JN699006,NC_023742,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
58,Akoni,MK757449,,Microbacterium foliorum NRRL B-24224,MN294681.1,28,"Microbacterium foliorum strain 74 WR3 16S ribosomal RNA gene, partial sequence"
59,AlainaMarie,,,Gordonia terrae 3612,MT818424.1,21,"Gordonia phage GemG, complete genome"
60,Alakazam,MT024862,,Microbacterium foliorum NRRL B-24224,MN294681.1,28,"Microbacterium foliorum strain 74 WR3 16S ribosomal RNA gene, partial sequence"
61,AlanGrant,KR080200,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
62,Alatin,MF324905,,Rhodococcus erythropolis RIA 643,MN945902.1,69,"Rhodococcus phage Dinger, complete genome"
63,Albee,KX817175,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
64,Albright,,,Microbacterium foliorum NRRL B-24224,MN294681.1,28,"Microbacterium foliorum strain 74 WR3 16S ribosomal RNA gene, partial sequence"
65,Aledel,MK112526,,Arthrobacter sp.  ATCC 21022,NC_031224.2,4,"Arthrobacter phage Mudcat, complete genome"
66,Aleemily,,,Gordonia rubripertincta NRRL B-16540,MN586057.1,18,"Gordonia phage Cleo, complete genome"
67,Alex44,MK894435,,Microbacterium foliorum NRRL B-24224,MN294681.1,28,"Microbacterium foliorum strain 74 WR3 16S ribosomal RNA gene, partial sequence"
68,AlexAdler,MG962360,,Microbacterium foliorum NRRL B-24224,MN294681.1,28,"Microbacterium foliorum strain 74 WR3 16S ribosomal RNA gene, partial sequence"
69,Alexphander,MG962361,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
70,Ali17,MH669000,,Gordonia terrae CAG3,MN586040.1,23,"Gordonia phage Stormageddon, complete genome"
71,Alice,JF704092,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
72,AlishaPH,MH077577,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
73,Aliter,MN369763,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
74,Alleb,MK376963,,Microbacterium paraoxydans NWU1,MN813684.1,33,"Microbacterium phage Terij, complete genome"
75,AlleyCat,MF185717,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
76,Alma,JN699005,NC_023716,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
77,AloeVera,,,Microbacterium foliorum NRRL B-24224,MN294681.1,28,"Microbacterium foliorum strain 74 WR3 16S ribosomal RNA gene, partial sequence"
78,Alpacados,MH271291,,Rhodococcus erythropolis RIA 643,MN945902.1,69,"Rhodococcus phage Dinger, complete genome"
79,Alsaber,MG298964,,Streptomyces azureus NRRL B-2655,NZ_BBYS00000000.1,77,"Streptomyces azureus strain ATCC 14921, whole genome shotgun sequencing project"
80,Alsfro,KJ174156,NC_023862,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
81,AltPhacts,MG962362,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
82,Altwerkus,MK112527,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
83,Alvin,KP027205,NC_026583,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
84,Alvy,MN234208,,Streptomyces platensis MJ1A1,MK433266.1,85,"Streptomyces phage Shawty, complete genome"
85,Alyxandracam,MN062713,,Microbacterium foliorum NRRL B-24224,MN294681.1,28,"Microbacterium foliorum strain 74 WR3 16S ribosomal RNA gene, partial sequence"
86,Amataga,MK359338,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
87,Amela,KT186228,,Streptomyces venezuelae ATCC 10712,MK305888.1,96,"Streptomyces phage Austintatious, complete genome"
88,Amelia,MN234214,,Arthrobacter globiformis B-2979,AF329477.3,2,"Arthrobacter globiformis strain NRRL B-2979 N,N-dimethylglycine oxidase operon, complete sequence; and hypothetical protein, putative formate dehydrogenase (fdh), putative molibdopterin biosynthesis protein (moeA), putative IclR-family transcriptional regulator (dioR), putative oxygenase (dio), putative ferredoxin reductase (fdr), putative ferredoxin (fdx), putative 10-formyltetrahydrofolate deformylase (purU2), dimethylglycine oxidase (dmg2), hypothetical protein, putative ABC transporter, putative methionine synthase (metH), and putative luciferase-like monooxygenase protein genes, complete cds"
89,Amelie,KX808132,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
90,Amethyst,MF766044,,Streptomyces xanthochromogenes NRRL B-5410,NZ_BMUZ00000000.1,100,"Streptomyces xanthochromogenes strain JCM 4612, whole genome shotgun sequencing project"
91,Amgine,MF324915,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
92,Amigo,KU160638,,Arthrobacter sp.  ATCC 21022,NC_031224.2,4,"Arthrobacter phage Mudcat, complete genome"
93,Aminay,MH509442,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
94,Amochick,MH697577,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
95,Amohnition,MF140398,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
96,Amore2,,,Gordonia terrae 3612,MT818424.1,21,"Gordonia phage GemG, complete genome"
97,Amyev,,,Arthrobacter globiformis B-2979,AF329477.3,2,"Arthrobacter globiformis strain NRRL B-2979 N,N-dimethylglycine oxidase operon, complete sequence; and hypothetical protein, putative formate dehydrogenase (fdh), putative molibdopterin biosynthesis protein (moeA), putative IclR-family transcriptional regulator (dioR), putative oxygenase (dio), putative ferredoxin reductase (fdr), putative ferredoxin (fdx), putative 10-formyltetrahydrofolate deformylase (purU2), dimethylglycine oxidase (dmg2), hypothetical protein, putative ABC transporter, putative methionine synthase (metH), and putative luciferase-like monooxygenase protein genes, complete cds"
98,AN3,MT310886,,Mycobacterium avium McK,Not Found,45,Not Found
99,AN9,MT310885,,Mycobacterium avium AV6,Not Found,41,Not Found
100,Anakin,MK801731,,Microbacterium foliorum NRRL B-24224,MN294681.1,28,"Microbacterium foliorum strain 74 WR3 16S ribosomal RNA gene, partial sequence"
101,Anamika,MG099935,,Gordonia terrae 3612,MT818424.1,21,"Gordonia phage GemG, complete genome"
102,Anansi,KU160639,,Arthrobacter sp.  ATCC 21022,NC_031224.2,4,"Arthrobacter phage Mudcat, complete genome"
103,Anatole,KX620748,,Propionibacterium freudenreichii TL 110,AL645882.2,59,Streptomyces coelicolor A3(2) complete genome
104,Anaya,JF704106,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
105,AnClar,MN908693,,Gordonia terrae 3612,MT818424.1,21,"Gordonia phage GemG, complete genome"
106,Anderson,,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
107,Andies,MG099936,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
108,AndPeggy,MN586036,,Gordonia rubripertincta NRRL B-16540,MN586057.1,18,"Gordonia phage Cleo, complete genome"
109,Andrew,MH834595,,Arthrobacter globiformis B-2979,AF329477.3,2,"Arthrobacter globiformis strain NRRL B-2979 N,N-dimethylglycine oxidase operon, complete sequence; and hypothetical protein, putative formate dehydrogenase (fdh), putative molibdopterin biosynthesis protein (moeA), putative IclR-family transcriptional regulator (dioR), putative oxygenase (dio), putative ferredoxin reductase (fdr), putative ferredoxin (fdx), putative 10-formyltetrahydrofolate deformylase (purU2), dimethylglycine oxidase (dmg2), hypothetical protein, putative ABC transporter, putative methionine synthase (metH), and putative luciferase-like monooxygenase protein genes, complete cds"
110,Andromedas,MH590606,,Microbacterium foliorum NRRL B-24224,MN294681.1,28,"Microbacterium foliorum strain 74 WR3 16S ribosomal RNA gene, partial sequence"
111,Aneem,MN703405,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
112,Angel,FJ973624,NC_012788,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
113,Angelica,HM152764,NC_014458,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
114,Angelicage,MH651166,,Gordonia terrae 3612,MT818424.1,21,"Gordonia phage GemG, complete genome"
115,Angelique,MH651167,,Gordonia terrae 3612,MT818424.1,21,"Gordonia phage GemG, complete genome"
116,Anglerfish,MN119379,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
117,AngryOrchard,KY549153,,Rhodococcus erythropolis RIA 643,MN945902.1,69,"Rhodococcus phage Dinger, complete genome"
118,ANI8,MT310884,,Mycobacterium avium CDC-A1,LT708304.1,43,"Mycobacterium bovis AF2122/97 genome assembly, chromosome: Mycobacterium_bovis_AF212297"
119,Animus,MN234192,,Streptomyces griseus ATCC 10137,MN586056.1,80,"Streptomyces phage FidgetOrca, complete genome"
120,Anjali,MK016490,,Arthrobacter globiformis B-2979,AF329477.3,2,"Arthrobacter globiformis strain NRRL B-2979 N,N-dimethylglycine oxidase operon, complete sequence; and hypothetical protein, putative formate dehydrogenase (fdh), putative molibdopterin biosynthesis protein (moeA), putative IclR-family transcriptional regulator (dioR), putative oxygenase (dio), putative ferredoxin reductase (fdr), putative ferredoxin (fdx), putative 10-formyltetrahydrofolate deformylase (purU2), dimethylglycine oxidase (dmg2), hypothetical protein, putative ABC transporter, putative methionine synthase (metH), and putative luciferase-like monooxygenase protein genes, complete cds"
121,Annadreamy,MH536811,,Streptomyces griseus ATCC 10137,MN586056.1,80,"Streptomyces phage FidgetOrca, complete genome"
122,AnnaL29,KF024721,NC_022087,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
123,AnnaLie,MT818427,,Microbacterium foliorum NRRL B-24224,MN294681.1,28,"Microbacterium foliorum strain 74 WR3 16S ribosomal RNA gene, partial sequence"
124,AnnaSerena,MH271292,,Microbacterium foliorum NRRL B-24224,MN294681.1,28,"Microbacterium foliorum strain 74 WR3 16S ribosomal RNA gene, partial sequence"
125,Annihilator,KT365399,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
126,Annyong,MH051247,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
127,Anon,MN369756,,Gordonia terrae 3612,MT818424.1,21,"Gordonia phage GemG, complete genome"
128,Anselm,MF919490,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
129,Antares,MN444877,,Microbacterium foliorum NRRL B-24224,MN294681.1,28,"Microbacterium foliorum strain 74 WR3 16S ribosomal RNA gene, partial sequence"
130,Anthony,MN234188,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
131,Antoinette,MH045565,,Microbacterium foliorum NRRL B-24224,MN294681.1,28,"Microbacterium foliorum strain 74 WR3 16S ribosomal RNA gene, partial sequence"
132,Antonia,MK279910,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
133,Antonio,MK814755,,Gordonia terrae 3612,MT818424.1,21,"Gordonia phage GemG, complete genome"
134,Antsirabe,MN234183,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
135,Anubis,KF279418,NC_029018,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
136,Apex,MN428050,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
137,Aphelion,MK376959,,Gordonia terrae 3612,MT818424.1,21,"Gordonia phage GemG, complete genome"
138,Apizium,KR781349,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
139,Apocalypse,MF668267,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
140,Appa,MH153799,,Microbacterium foliorum NRRL B-24224,MN294681.1,28,"Microbacterium foliorum strain 74 WR3 16S ribosomal RNA gene, partial sequence"
141,AppleCider,MN735429,,Arthrobacter sp.  ATCC 21022,NC_031224.2,4,"Arthrobacter phage Mudcat, complete genome"
142,AppleCloud,MF324903,,Rhodococcus erythropolis RIA 643,MN945902.1,69,"Rhodococcus phage Dinger, complete genome"
143,Appletree2,MF185726,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
144,Apricot,MH536812,,Gordonia terrae 3612,MT818424.1,21,"Gordonia phage GemG, complete genome"
145,Aquarius,MF919491,,Propionibacterium acnes ATCC 6919,MT947204.1,55,"Cutibacterium acnes strain HKG366 16S ribosomal RNA gene, partial sequence"
146,Araceli,MN224564,,Streptomyces griseus ATCC 10137,MN586056.1,80,"Streptomyces phage FidgetOrca, complete genome"
147,Aragog,MG099937,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
148,Araxxi,MN062711,,Microbacterium foliorum NRRL B-24224,MN294681.1,28,"Microbacterium foliorum strain 74 WR3 16S ribosomal RNA gene, partial sequence"
149,Arbiter,JN618996,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
150,Arby,MK737943,,Arthrobacter sp.  ATCC 21022,NC_031224.2,4,"Arthrobacter phage Mudcat, complete genome"
151,Arcadia,MF189170,,Arthrobacter sp.  ATCC 21022,NC_031224.2,4,"Arthrobacter phage Mudcat, complete genome"
152,Arcanine,MH744414,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
153,ArcherNM,KU761559,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
154,ArcherS7,KC748970,NC_021348,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
155,Archetta,MG099938,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
156,Archie,KT591489,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
157,Archimedes,MT771339,,Gordonia terrae 3612,MT818424.1,21,"Gordonia phage GemG, complete genome"
158,Archis,MT723942,,Gordonia terrae 3612,MT818424.1,21,"Gordonia phage GemG, complete genome"
159,ArcusAngelus,MH744415,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
160,Ardmore,GU060500,NC_013936,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
161,Ares,JN699004,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
162,Arete,MT024863,,Microbacterium foliorum NRRL B-24224,MN294681.1,28,"Microbacterium foliorum strain 74 WR3 16S ribosomal RNA gene, partial sequence"
163,Argie,MK494114,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
164,Ariadne,MN585986,,Microbacterium paraoxydans NWU1,MN813684.1,33,"Microbacterium phage Terij, complete genome"
165,Arib1,MF919492,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
166,Ariel,KM400683,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
167,Aries55,,,Microbacterium foliorum NRRL B-24224,MN294681.1,28,"Microbacterium foliorum strain 74 WR3 16S ribosomal RNA gene, partial sequence"
168,Arissanae,MK468591,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
169,Arlo,MH576971,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
170,ArMaWen,MK308638,,Microbacterium foliorum NRRL B-24224,MN294681.1,28,"Microbacterium foliorum strain 74 WR3 16S ribosomal RNA gene, partial sequence"
171,Armstrong,MH834596,,Microbacterium foliorum NRRL B-24224,MN294681.1,28,"Microbacterium foliorum strain 74 WR3 16S ribosomal RNA gene, partial sequence"
172,Aroostook,MF668268,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
173,Arri,MK864266,,Gordonia terrae 3612,MT818424.1,21,"Gordonia phage GemG, complete genome"
174,Arroyo,MK937610,,Microbacterium foliorum NRRL B-24224,MN294681.1,28,"Microbacterium foliorum strain 74 WR3 16S ribosomal RNA gene, partial sequence"
175,Artemis2UCLA,KF560333,NC_022977,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
176,Arturo,JX307702,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
177,ArV1,KM879463,NC_026606,Arthrobacter sp.  68b,NZ_KJ410765.1,3,"Arthrobacter sp. 68b plasmid p2MP, complete sequence"
178,ArV2,KF692088,NC_022972,Arthrobacter sp.  68b,NZ_KJ410765.1,3,"Arthrobacter sp. 68b plasmid p2MP, complete sequence"
179,Asapag,MK376961,,Gordonia terrae 3612,MT818424.1,21,"Gordonia phage GemG, complete genome"
180,Asayake,,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
181,ASerpRocky,MN234166,,Gordonia westfalica NRRL B-24152,NC_005307.1,26,"Gordonia westfalica plasmid pKB1, complete sequence"
182,Ashertheman,MH651168,,Gordonia terrae 3612,MT818424.1,21,"Gordonia phage GemG, complete genome"
183,Ashraf,KY385380,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
184,Ashton,MT310875,,Microbacterium foliorum NRRL B-24224,MN294681.1,28,"Microbacterium foliorum strain 74 WR3 16S ribosomal RNA gene, partial sequence"
185,Asriel,MG872831,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
186,Asten,MK433276,,Streptomyces griseus ATCC 10137,MN586056.1,80,"Streptomyces phage FidgetOrca, complete genome"
187,Astraea,KC691257,NC_021349,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
188,Astro,JX015524,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
189,ATCC29399BC,JX262225,NC_018851,Propionibacterium acnes ATCC 29399,MG820636.1,54,"Propionibacterium phage pa29399-1-D_2, complete genome"
